insert_time,xpath,datatype,group_lv1,group_lv2,sub_xpath,value
202207142000,div,class,div,,,overlay
202207142000,div,text,div,,,
202207142000,div[2]/div/ul/li/a,href,div[2]/div,div[2]/div/ul/li,/a,javascript:;
202207142000,div[2]/div/ul/li/a,innerHTML,div[2]/div,div[2]/div/ul/li,/a,English
202207142000,div[2]/div/ul/li/a,text,div[2]/div,div[2]/div/ul/li,/a,
202207142000,div[2]/div/ul/li[2]/a,href,div[2]/div,div[2]/div/ul/li[2],/a,javascript:;
202207142000,div[2]/div/ul/li[2]/a,innerHTML,div[2]/div,div[2]/div/ul/li[2],/a,繁體中文
202207142000,div[2]/div/ul/li[2]/a,text,div[2]/div,div[2]/div/ul/li[2],/a,
202207142000,div[2]/div/ul/li[3]/a,href,div[2]/div,div[2]/div/ul/li[3],/a,javascript:;
202207142000,div[2]/div/ul/li[3]/a,innerHTML,div[2]/div,div[2]/div/ul/li[3],/a,简体中文
202207142000,div[2]/div/ul/li[3]/a,text,div[2]/div,div[2]/div/ul/li[3],/a,
202207142000,div[2]/h3/a,href,div[2],,h3/a,javascript:;
202207142000,div[2]/h3/a,innerHTML,div[2],,h3/a,
202207142000,div[2]/h3/a,text,div[2],,h3/a,
202207142000,div[3]/div/div/div/ul/li/a,href,div[3]/div/div/div,div[3]/div/div/div/ul/li,/a,https://www.books.com.tw/?loc=tw_website_001
202207142000,div[3]/div/div/div/ul/li/a,innerHTML,div[3]/div/div/div,div[3]/div/div/div/ul/li,/a,博客來
202207142000,div[3]/div/div/div/ul/li/a,text,div[3]/div/div/div,div[3]/div/div/div/ul/li,/a,博客來
202207142000,div[3]/div/div/div/ul/li[2]/a,href,div[3]/div/div/div,div[3]/div/div/div/ul/li[2],/a,https://tickets.books.com.tw/index/?loc=tw_website_003
202207142000,div[3]/div/div/div/ul/li[2]/a,innerHTML,div[3]/div/div/div,div[3]/div/div/div/ul/li[2],/a,售票網
202207142000,div[3]/div/div/div/ul/li[2]/a,text,div[3]/div/div/div,div[3]/div/div/div/ul/li[2],/a,售票網
202207142000,div[3]/div/div/div/ul/li[3]/a,href,div[3]/div/div/div,div[3]/div/div/div/ul/li[3],/a,https://group.books.com.tw/?loc=tw_website_004
202207142000,div[3]/div/div/div/ul/li[3]/a,innerHTML,div[3]/div/div/div,div[3]/div/div/div/ul/li[3],/a,企業採購
202207142000,div[3]/div/div/div/ul/li[3]/a,text,div[3]/div/div/div,div[3]/div/div/div/ul/li[3],/a,企業採購
202207142000,div[3]/div/div/div/ul/li[4]/a,href,div[3]/div/div/div,div[3]/div/div/div/ul/li[4],/a,https://www.books.com.tw/benefit/?loc=tw_website_005
202207142000,div[3]/div/div/div/ul/li[4]/a,innerHTML,div[3]/div/div/div,div[3]/div/div/div/ul/li[4],/a,福利平台
202207142000,div[3]/div/div/div/ul/li[4]/a,text,div[3]/div/div/div,div[3]/div/div/div/ul/li[4],/a,福利平台
202207142000,div[3]/div/div/div/ul/li[5]/a,href,div[3]/div/div/div,div[3]/div/div/div/ul/li[5],/a,https://www.books.com.tw/web/ovs/?loc=tw_website_006
202207142000,div[3]/div/div/div/ul/li[5]/a,innerHTML,div[3]/div/div/div,div[3]/div/div/div/ul/li[5],/a,海外專館
202207142000,div[3]/div/div/div/ul/li[5]/a,text,div[3]/div/div/div,div[3]/div/div/div/ul/li[5],/a,海外專館
202207142000,div[3]/div/div/div[2]/h2/a,href,div[3]/div/div/div[2],,h2/a,https://www.books.com.tw/#accesskey_service_nav
202207142000,div[3]/div/div/div[2]/h2/a,innerHTML,div[3]/div/div/div[2],,h2/a,:::會員服務|快速功能
202207142000,div[3]/div/div/div[2]/h2/a,text,div[3]/div/div/div[2],,h2/a,
202207142000,div[3]/div/div/div[2]/ul/li/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a,https://db.books.com.tw/shopping/cart_list.php?loc=tw_customer_001
202207142000,div[3]/div/div/div[2]/ul/li/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a,0結帳
202207142000,div[3]/div/div/div[2]/ul/li/a/img,alt,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a/img,直接結帳
202207142000,div[3]/div/div/div[2]/ul/li/a/img,src,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a/img,https://www.books.com.tw/csss/images/shoppingcar.gif
202207142000,div[3]/div/div/div[2]/ul/li/a/img,title,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a/img,直接結帳
202207142000,div[3]/div/div/div[2]/ul/li/a/span,class,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a/span,more
202207142000,div[3]/div/div/div[2]/ul/li/a/span,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li,/a/span,
202207142000,div[3]/div/div/div[2]/ul/li[10]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[10],/a,javascript:;
202207142000,div[3]/div/div/div[2]/ul/li[10]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[10],/a,繁體
202207142000,div[3]/div/div/div[2]/ul/li[10]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[10],/a,繁體
202207142000,div[3]/div/div/div[2]/ul/li[2]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[2],/a,https://cart.books.com.tw/member/logout?loc=customer_004
202207142000,div[3]/div/div/div[2]/ul/li[2]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[2],/a,登出
202207142000,div[3]/div/div/div[2]/ul/li[2]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[2],/a,
202207142000,div[3]/div/div/div[2]/ul/li[3]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[3],/a,javascript:void(0);
202207142000,div[3]/div/div/div[2]/ul/li[3]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[3],/a,&nbsp;&nbsp;&nbsp;&nbsp;登入&nbsp;&nbsp;&nbsp;&nbsp;
202207142000,div[3]/div/div/div[2]/ul/li[3]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[3],/a,    登入    
202207142000,div[3]/div/div/div[2]/ul/li[4]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[4],/a,javascript:void(0);
202207142000,div[3]/div/div/div[2]/ul/li[4]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[4],/a,加入會員
202207142000,div[3]/div/div/div[2]/ul/li[4]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[4],/a,加入會員
202207142000,div[3]/div/div/div[2]/ul/li[5]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5],/a,https://myaccount.books.com.tw/myaccount/myaccount/index/?loc=tw_customer_004
202207142000,div[3]/div/div/div[2]/ul/li[5]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5],/a,購物金
202207142000,div[3]/div/div/div[2]/ul/li[5]/a/span,class,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5],/a/span,
202207142000,div[3]/div/div/div[2]/ul/li[5]/a/span,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5],/a/span,
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li,/a,https://myaccount.books.com.tw/myaccount/myaccount/getShoppingmoneylist?loc=tw_customer_005
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li,/a,"<strong id=""shopping_cash"">0</strong>"
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li,/a,
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[2]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[2],/a,https://myaccount.books.com.tw/myaccount/myaccount/getFreemoneylist?loc=tw_customer_006
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[2]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[2],/a,"<strong id=""benefit_cash"">0</strong>"
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[2]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[2],/a,
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[3]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[3],/a,https://myaccount.books.com.tw/myaccount/myaccount/getPercentcouponlist?loc=tw_customer_coupon
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[3]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[3],/a,"<strong id=""my_ecoupon_count"">0</strong>"
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[3]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[3],/a,
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[4]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[4],/a,https://myaccount.books.com.tw/myaccount/myaccount/getPercentIcouponlist?loc=tw_customer_icoupon
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[4]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[4],/a,"<strong id=""my_icoupon_count"">0</strong>"
202207142000,div[3]/div/div/div[2]/ul/li[5]/div/ul/li[4]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[5]/div/ul/li[4],/a,
202207142000,div[3]/div/div/div[2]/ul/li[6]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[6],/a,https://myaccount.books.com.tw/myaccount/myaccount/getPointExchangeView/?loc=tw_customer_op
202207142000,div[3]/div/div/div[2]/ul/li[6]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[6],/a,OP點數兌換
202207142000,div[3]/div/div/div[2]/ul/li[6]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[6],/a,OP點數兌換
202207142000,div[3]/div/div/div[2]/ul/li[7]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[7],/a,https://myaccount.books.com.tw/myaccount/myaccount/index/?loc=tw_customer_007
202207142000,div[3]/div/div/div[2]/ul/li[7]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[7],/a,會員專區
202207142000,div[3]/div/div/div[2]/ul/li[7]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[7],/a,會員專區
202207142000,div[3]/div/div/div[2]/ul/li[8]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[8],/a,https://viewer-ebook.books.com.tw/viewer/index.html?readlist=all&MemberLogout=true
202207142000,div[3]/div/div/div[2]/ul/li[8]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[8],/a,電子書櫃
202207142000,div[3]/div/div/div[2]/ul/li[8]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[8],/a,電子書櫃
202207142000,div[3]/div/div/div[2]/ul/li[9]/a,href,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[9],/a,https://www.books.com.tw/web/csservice?loc=tw_customer_chat
202207142000,div[3]/div/div/div[2]/ul/li[9]/a,innerHTML,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[9],/a,線上客服
202207142000,div[3]/div/div/div[2]/ul/li[9]/a,text,div[3]/div/div/div[2],div[3]/div/div/div[2]/ul/li[9],/a,線上客服
202207142000,div[3]/div/div/h2,innerHTML,div[3]/div/div,,h2,:::相關網站
202207142000,div[3]/div/div/h2,text,div[3]/div/div,,h2,
202207142000,div[3]/div/div[2]/a,href,div[3]/div/div[2],,a,https://www.books.com.tw/my_account/books_message1.html?loc=bsbanner_001
202207142000,div[3]/div/div[2]/a,text,div[3]/div/div[2],,a,
202207142000,div[3]/div/div[2]/a/img,alt,div[3]/div/div[2],,a/img,
202207142000,div[3]/div/div[2]/a/img,src,div[3]/div/div[2],,a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/marketing/2022/04/gbt/01_950x90.jpg&v=6258de48k&w=&h=
202207142000,div[3]/div/div[2]/a/img,title,div[3]/div/div[2],,a/img,
202207142000,div[3]/div/div[3]/div/a,href,div[3]/div/div[3]/div,,a,https://activity.books.com.tw/crosscat/show/A00000052072?loc=tbanner_001
202207142000,div[3]/div/div[3]/div/a,text,div[3]/div/div[3]/div,,a,
202207142000,div[3]/div/div[3]/div/a/span,class,div[3]/div/div[3]/div,,a/span,hide
202207142000,div[3]/div/div[3]/div/a/span,text,div[3]/div/div[3]/div,,a/span,
202207142000,div[3]/div/div[3]/div/a[2],href,div[3]/div/div[3]/div,,a[2],javascript:;
202207142000,div[3]/div/div[3]/div/a[2],text,div[3]/div/div[3]/div,,a[2],
202207142000,div[3]/div/div[3]/div/a[2]/span,class,div[3]/div/div[3]/div,,a[2]/span,hide
202207142000,div[3]/div/div[3]/div/a[2]/span,text,div[3]/div/div[3]/div,,a[2]/span,
202207142000,div[3]/div/div[3]/div[2]/a,href,div[3]/div/div[3]/div[2],,a,https://activity.books.com.tw/crosscat/show/A00000052072?loc=tbanner_001
202207142000,div[3]/div/div[3]/div[2]/a,text,div[3]/div/div[3]/div[2],,a,
202207142000,div[3]/div/div[3]/div[2]/a/span,class,div[3]/div/div[3]/div[2],,a/span,hide
202207142000,div[3]/div/div[3]/div[2]/a/span,text,div[3]/div/div[3]/div[2],,a/span,
202207142000,div[3]/div/div[3]/div[2]/a[2],href,div[3]/div/div[3]/div[2],,a[2],javascript:;
202207142000,div[3]/div/div[3]/div[2]/a[2],text,div[3]/div/div[3]/div[2],,a[2],
202207142000,div[3]/div/div[3]/div[2]/a[2]/span,class,div[3]/div/div[3]/div[2],,a[2]/span,hide
202207142000,div[3]/div/div[3]/div[2]/a[2]/span,text,div[3]/div/div[3]/div[2],,a[2]/span,
202207142000,div[3]/div/div[4]/div/a,href,div[3]/div/div[4]/div,,a,https://www.books.com.tw/?loc=tw_logo_001
202207142000,div[3]/div/div[4]/div/a,text,div[3]/div/div[4]/div,,a,
202207142000,div[3]/div/div[4]/div/a/span,class,div[3]/div/div[4]/div,,a/span,
202207142000,div[3]/div/div[4]/div/a/span,text,div[3]/div/div[4]/div,,a/span,
202207142000,div[3]/div/div[4]/div[2]/a,href,div[3]/div/div[4]/div[2],,a,https://activity.books.com.tw/crosscat/show/A00000050646?loc=banner_001
202207142000,div[3]/div/div[4]/div[2]/a,text,div[3]/div/div[4]/div[2],,a,
202207142000,div[3]/div/div[4]/div[2]/a/span,class,div[3]/div/div[4]/div[2],,a/span,hide
202207142000,div[3]/div/div[4]/div[2]/a/span,text,div[3]/div/div[4]/div[2],,a/span,
202207142000,div[3]/div/div[4]/ul/li/a,href,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a,https://activity.books.com.tw/crosscat/show/A00000051419?loc=dbanner_001
202207142000,div[3]/div/div[4]/ul/li/a,text,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a,
202207142000,div[3]/div/div[4]/ul/li/a/img,alt,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a/img,
202207142000,div[3]/div/div[4]/ul/li/a/img,src,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a/img,https://im2.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/2022/06/Taiwan/19065.jpg&v=62bbfa7ek&w=&h=
202207142000,div[3]/div/div[4]/ul/li/a/img,title,div[3]/div/div[4],div[3]/div/div[4]/ul/li,/a/img,
202207142000,div[3]/div/div[4]/ul/li[2]/a,href,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a,https://activity.books.com.tw/crosscat/show/A00000051570?loc=dbanner_002
202207142000,div[3]/div/div[4]/ul/li[2]/a,text,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a,
202207142000,div[3]/div/div[4]/ul/li[2]/a/img,alt,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a/img,
202207142000,div[3]/div/div[4]/ul/li[2]/a/img,src,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a/img,https://im1.book.com.tw/image/getImage?i=https://addons.books.com.tw/G/ADbanner/2022/06/BN-190x65px.jpg&v=62b118f6k&w=&h=
202207142000,div[3]/div/div[4]/ul/li[2]/a/img,title,div[3]/div/div[4],div[3]/div/div[4]/ul/li[2],/a/img,
202207142000,div[3]/div/div[5]/p/span,class,div[3]/div/div[5],,p/span,icon
202207142000,div[3]/div/div[5]/p/span,text,div[3]/div/div[5],,p/span,客服公告：
